鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),現況格局-房,現況格局-廳,現況格局-衛,現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註
北區,地+建+車,北門里北門街181～210號,17.43,商17.43,,,10412,土地1建物1車位1,A六層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,179.481,3房,2廳,2衛,有隔間,有管理組織,14500000,313579,坡道平面,42.96,0,無
北區,地+建+車,北門里北門街181～210號,17.43,商17.43,,,10412,土地1建物1車位1,A九層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,179.481,3房,2廳,2衛,有隔間,有管理組織,13480000,288880,坡道平面,42.96,0,無
北區,地+建+車,北門里北門街181～210號,17.43,商17.43,,,10412,土地1建物1車位1,A十層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,179.481,3房,2廳,2衛,有隔間,有管理組織,13500000,292996,坡道平面,42.96,0,無
北區,地+建+車,北門里北門街181～210號,17.43,商17.43,,,10412,土地1建物1車位1,A十一層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,179.481,3房,2廳,2衛,有隔間,有管理組織,13870000,294691,坡道平面,42.96,0,無
北區,地+建+車,北門里北門街181～210號,16.019,商16.019,,,10412,土地1建物1車位1,A三層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,153.046,3房,2廳,2衛,有隔間,有管理組織,12090000,275813,坡道機械,16.53,0,無
北區,地+建+車,北門里北門街181～210號,17.098,商17.098,,,10412,土地1建物1車位1,A六層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,172.89,3房,2廳,2衛,有隔間,有管理組織,12760000,282343,坡道平面,36.37,0,無
東區,地+建,竹蓮街１７３巷1～30號,18.57,商18.57,,,10411,土地1建物1,A二層=68.34,5層,公寓,住家用,鋼筋混凝土造,7012,71.34,2房,1廳,1衛,有隔間,無管理組織,4800000,222425,,0,0,無
北區,地+建+車,北門里北門街181～210號,17.098,商17.098,,,10412,土地1建物1車位1,A七層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,172.89,3房,2廳,2衛,有隔間,有管理組織,12780000,285249,坡道平面,36.37,0,無
北區,地+建+車,北門里北門街181～210號,17.098,商17.098,,,10412,土地1建物1車位1,A八層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,172.89,3房,2廳,2衛,有隔間,有管理組織,12920000,282585,坡道平面,36.37,0,無
北區,地+建+車,北門里北門街181～210號,17.43,商17.43,,,10412,土地1建物1車位1,A九層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,179.481,3房,2廳,2衛,有隔間,有管理組織,13480000,291301,坡道平面,42.96,0,無
北區,地+建+車,北門里北門街181～210號,17.015,商17.015,,,10412,土地1建物1車位1,A十三層=83.69,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,176.474,3房,2廳,2衛,有隔間,有管理組織,13650000,299593,坡道平面,42.96,0,無
北區,地+建+車,北門里北門街181～210號,17.43,商17.43,,,10412,土地1建物1車位1,A二層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,184.446,3房,2廳,2衛,有隔間,有管理組織,13150000,269862,坡道平面,42.96,0,無
北區,地+建+車,北門里北門街181～210號,17.43,商17.43,,,10412,土地1建物1車位1,A三層=86.81,13層,住宅大樓,見其他登記事項，共同使用部份,鋼筋混凝土造,10407,179.405,3房,2廳,2衛,有隔間,有管理組織,12690000,272323,坡道平面,42.96,0,無
